cik,name,ticker,sic,industry
1126328,PRINCIPAL FINANCIAL GROUP INC,['PFG'],6321,"""ACCIDENT & HEALTH INSURANCE"""
1126703,Shoshone Silver/Gold Mining Co,[],1040,"""GOLD AND SILVER ORES"""
1126741,GSI TECHNOLOGY INC,['GSIT'],3674,"""SEMICONDUCTORS & RELATED DEVICES"""
1126956,SPIRE INC,"['SR', 'SR-PA']",4924,"""NATURAL GAS DISTRIBUTION"""
1126961,GRANDSOUTH BANCORPORATION,[],6036,"""SAVINGS INSTITUTIONS, NOT FEDERALLY CHARTERED"""
1126975,"Magellan Midstream Partners, L.P.",[],4610,"""PIPE LINES (NO NATURAL GAS)"""
1127160,CAROLINA BANK HOLDINGS INC,[],6022,"""STATE COMMERCIAL BANKS"""
1127245,WELLS REAL ESTATE FUND XIII L P,[],6512,"""OPERATORS OF NONRESIDENTIAL BUILDINGS"""
1127371,Community West Bancshares,['CWBC'],6022,"""STATE COMMERCIAL BANKS"""
1127475,"Digital Brand Media & Marketing Group, Inc.",['DBMM'],7389,"""SERVICES-BUSINESS SERVICES, NEC"""
1127537,Pulmonx Corp,['LUNG'],3841,"""SURGICAL & MEDICAL INSTRUMENTS & APPARATUS"""
1127703,PROASSURANCE CORP,['PRA'],6331,"""FIRE, MARINE & CASUALTY INSURANCE"""
1127993,"GALAXY NEXT GENERATION, INC.",['GAXYQ'],7830,"""SERVICES-MOTION PICTURE THEATERS"""
1128189,"ProtoKinetix, Inc.",['PKTX'],2834,"""PHARMACEUTICAL PREPARATIONS"""
1128227,"First Federal of Northern Michigan Bancorp, Inc.",[],6021,"""NATIONAL COMMERCIAL BANKS"""
1128250,BA Credit Card Trust,[],6189,"""ASSET-BACKED SECURITIES"""
1128281,"Saker Aviation Services, Inc.",['SKAS'],4581,"""AIRPORTS, FLYING FIELDS & AIRPORT TERMINAL SERVICES"""
1128353,ENERTECK CORP,['ETCK'],2890,"""MISCELLANEOUS CHEMICAL PRODUCTS"""
1128361,HOPE BANCORP INC,['HOPE'],6021,"""NATIONAL COMMERCIAL BANKS"""
1128725,"INTERCLOUD SYSTEMS, INC.",[],7389,"""SERVICES-BUSINESS SERVICES, NEC"""
1128928,FLOWERS FOODS INC,['FLO'],2000,"""FOOD AND KINDRED PRODUCTS"""
1129048,"WeedHire International, Inc.",[],7389,"""SERVICES-BUSINESS SERVICES, NEC"""
1129096,INFITECH VENTURES INC,[],2911,"""PETROLEUM REFINING"""
1129155,MARINE PRODUCTS CORP,['MPX'],3730,"""SHIP & BOAT BUILDING & REPAIRING"""
1129260,"VOCERA COMMUNICATIONS, INC.",[],3669,"""COMMUNICATIONS EQUIPMENT, NEC"""
1129542,VECTREN UTILITY HOLDINGS INC,[],4932,"""GAS & OTHER SERVICES COMBINED"""
1129633,PHOENIX COMPANIES INC/DE,[],6311,"""LIFE INSURANCE"""
1130144,SIERRA BANCORP,['BSRR'],6022,"""STATE COMMERCIAL BANKS"""
1130166,"Cyclacel Pharmaceuticals, Inc.","['CYCC', 'CYCCP']",2834,"""PHARMACEUTICAL PREPARATIONS"""
1130310,CENTERPOINT ENERGY INC,['CNP'],4911,"""ELECTRIC SERVICES"""
1130385,FOSTER WHEELER AG,[],1600,"""HEAVY CONSTRUCTION OTHER THAN BLDG CONST - CONTRACTORS"""
1130464,BLACK HILLS CORP /SD/,['BKH'],4911,"""ELECTRIC SERVICES"""
1130591,XENOPORT INC,[],2834,"""PHARMACEUTICAL PREPARATIONS"""
1130598,"Traws Pharma, Inc.",['TRAW'],2834,"""PHARMACEUTICAL PREPARATIONS"""
1130713,"BEYOND, INC.",['BYON'],5961,"""RETAIL-CATALOG & MAIL-ORDER HOUSES"""
1130758,AEI INCOME & GROWTH FUND 24 LLC,[],6500,"""REAL ESTATE"""
1130808,SPIRE TECHNOLOGIES INC.,[],1000,"""METAL MINING"""
1130866,HITTITE MICROWAVE CORP,[],3674,"""SEMICONDUCTORS & RELATED DEVICES"""
1130889,CANCER CAPITAL CORP,['CNCL'],6770,"""BLANK CHECKS"""
1131089,"LD HOLDINGS, INC.",[],3949,"""SPORTING & ATHLETIC GOODS, NEC"""
1131096,ATHENAHEALTH INC,[],7389,"""SERVICES-BUSINESS SERVICES, NEC"""
1131227,HORNBECK OFFSHORE SERVICES INC /LA,[],4400,"""WATER TRANSPORTATION"""
1131312,ZION OIL & GAS INC,"['ZNOG', 'ZNOGW']",1382,"""OIL & GAS FIELD EXPLORATION SERVICES"""
1131324,GENOMIC HEALTH INC,[],8071,"""SERVICES-MEDICAL LABORATORIES"""
1131543,AMBIT BIOSCIENCES CORP,[],2834,"""PHARMACEUTICAL PREPARATIONS"""
1131554,SYNCHRONOSS TECHNOLOGIES INC,"['SNCR', 'SNCRL']",7371,"""SERVICES-COMPUTER PROGRAMMING SERVICES"""
1131675,"HASCO Medical, Inc.",[],3714,"""MOTOR VEHICLE PARTS & ACCESSORIES"""
1131903,SPECTRAL CAPITAL Corp,['FCCN'],7374,"""SERVICES-COMPUTER PROCESSING & DATA PREPARATION"""
1132105,"SPORTSMAN'S WAREHOUSE HOLDINGS, INC.",['SPWH'],5940,"""RETAIL-MISCELLANEOUS SHOPPING GOODS STORES"""
1132143,LEGEND INTERNATIONAL HOLDINGS INC,[],1040,"""GOLD AND SILVER ORES"""
1132509,New Momentum Corp.,['NNAX'],8741,"""SERVICES-MANAGEMENT SERVICES"""
1132651,AMES NATIONAL CORP,['ATLO'],6021,"""NATIONAL COMMERCIAL BANKS"""
1133062,JANEL CORP,['JANL'],7389,"""SERVICES-BUSINESS SERVICES, NEC"""
1133116,"AC Partners, Inc.",['ACPS'],1700,"""CONSTRUCTION - SPECIAL TRADE CONTRACTORS"""
1133266,AMERA LINK INC,[],9995,"""NON-OPERATING ESTABLISHMENTS"""
1133311,TRAVELZOO,['TZOO'],7310,"""SERVICES-ADVERTISING"""
1133416,GALECTIN THERAPEUTICS INC,['GALT'],2834,"""PHARMACEUTICAL PREPARATIONS"""
1133421,NORTHROP GRUMMAN CORP /DE/,['NOC'],3812,"""SEARCH, DETECTION, NAVAGATION, GUIDANCE, AERONAUTICAL SYS"""
1133470,CALAVO GROWERS INC,['CVGW'],700,"""AGRICULTURAL SERVICES"""
1133798,"TX Holdings, Inc.",[],5084,"""WHOLESALE-INDUSTRIAL MACHINERY & EQUIPMENT"""
1133818,"BIO-PATH HOLDINGS, INC.",['BPTH'],2834,"""PHARMACEUTICAL PREPARATIONS"""
1133869,"CAPRICOR THERAPEUTICS, INC.",['CAPR'],2834,"""PHARMACEUTICAL PREPARATIONS"""
1133901,Morris Business Development Co,[],7389,"""SERVICES-BUSINESS SERVICES, NEC"""
1134016,MIDWEST GENERATION LLC,[],4991,"""COGENERATION SERVICES & SMALL POWER PRODUCERS"""
1134115,INTERNATIONAL TOWER HILL MINES LTD,['THM'],1000,"""METAL MINING"""
1134765,"Charlie's Holdings, Inc.",['CHUC'],2833,"""MEDICINAL CHEMICALS & BOTANICAL PRODUCTS"""
1134982,"Apple iSports Group, Inc.",['AAPI'],6411,"""INSURANCE AGENTS, BROKERS & SERVICE"""
1135017,KINDER MORGAN MANAGEMENT LLC,[],4610,"""PIPE LINES (NO NATURAL GAS)"""
1135152,FMC TECHNOLOGIES INC,[],3533,"""OIL & GAS FIELD MACHINERY & EQUIPMENT"""
1135185,ATLAS AIR WORLDWIDE HOLDINGS INC,[],4522,"""AIR TRANSPORTATION, NONSCHEDULED"""
1135202,EL CAPITAN PRECIOUS METALS INC,[],1000,"""METAL MINING"""
1135361,Illinois Power Generating Co,[],4911,"""ELECTRIC SERVICES"""
1135657,"Eco-Stim Energy Solutions, Inc.",[],1389,"""OIL & GAS FIELD SERVICES, NEC"""
